:START_ID,:END_ID,:TYPE
e2294,e23822,现藏博物馆
e2294,e24575,藏品材质
e2295,e24798,年代
e2295,e23822,现藏博物馆
e2295,e24575,藏品材质
e2296,e24317,年代
e2296,e23822,现藏博物馆
e2296,e24478,藏品材质
e2297,e24036,年代
e2297,e23822,现藏博物馆
e2297,e23999,藏品材质
e2298,e24683,年代
e2298,e23822,现藏博物馆
e2298,e24235,藏品材质
e2299,e23827,年代
e2299,e23822,现藏博物馆
e2299,e23774,藏品材质
e2300,e24417,年代
e2300,e23822,现藏博物馆
e2300,e24779,藏品材质
e2301,e24657,年代
e2301,e23822,现藏博物馆
e2301,e24651,藏品材质
e2302,e24657,年代
e2302,e23822,现藏博物馆
e2302,e24596,藏品材质
e2303,e24683,年代
e2303,e23822,现藏博物馆
e2303,e24596,藏品材质
e2304,e24417,年代
e2304,e23822,现藏博物馆
e2304,e24770,藏品材质
e2305,e24090,年代
e2305,e23822,现藏博物馆
e2305,e24254,藏品材质
e2306,e24417,年代
e2306,e23822,现藏博物馆
e2306,e24591,藏品材质
e2307,e24417,年代
e2307,e23822,现藏博物馆
e2307,e23404,藏品材质
e2308,e24059,年代
e2308,e23822,现藏博物馆
e2308,e24399,藏品材质
e2309,e23536,年代
e2309,e23822,现藏博物馆
e2309,e23783,藏品材质
e2310,e24582,年代
e2310,e23822,现藏博物馆
e2310,e24576,藏品材质
e2311,e24036,年代
e2311,e23822,现藏博物馆
e2311,e24074,藏品材质
e2312,e23687,年代
e2312,e23822,现藏博物馆
e2312,e23567,藏品材质
e2313,e24657,年代
e2313,e23822,现藏博物馆
e2313,e24254,藏品材质
e2314,e24002,年代
e2314,e23822,现藏博物馆
e2314,e24345,藏品材质
e2315,e24683,年代
e2315,e23822,现藏博物馆
e2315,e24235,藏品材质
e2316,e23687,年代
e2316,e23822,现藏博物馆
e2316,e24254,藏品材质
e2317,e23938,年代
e2317,e23822,现藏博物馆
e2317,e23755,藏品材质
e2318,e24059,年代
e2318,e23822,现藏博物馆
e2318,e24726,藏品材质
e2319,e24657,年代
e2319,e23822,现藏博物馆
e2319,e24651,藏品材质
e2320,e23483,年代
e2320,e23822,现藏博物馆
e2320,e24785,藏品材质
e2321,e24554,年代
e2321,e23822,现藏博物馆
e2321,e24097,藏品材质
e2322,e24657,年代
e2322,e23822,现藏博物馆
e2322,e24235,藏品材质
e2323,e24059,年代
e2323,e23822,现藏博物馆
e2323,e24601,藏品材质
e2324,e24657,年代
e2324,e23822,现藏博物馆
e2324,e24254,藏品材质
e2325,e24794,年代
e2325,e23822,现藏博物馆
e2325,e24575,藏品材质
e2326,e24794,年代
e2326,e23822,现藏博物馆
e2326,e24596,藏品材质
e2327,e24497,年代
e2327,e23822,现藏博物馆
e2327,e24254,藏品材质
e2328,e24804,年代
e2328,e23822,现藏博物馆
e2328,e24694,藏品材质
e2329,e24548,年代
e2329,e23822,现藏博物馆
e2329,e23624,藏品材质
e2330,e23822,现藏博物馆
e2330,e24295,藏品材质
e2331,e23481,年代
e2331,e23822,现藏博物馆
e2331,e24651,藏品材质
e2332,e23359,年代
e2332,e23822,现藏博物馆
