id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
5564,周折肩灰陶瓶,周,无,三级,无,陕西博物馆,无,高16cm，口径8cm，0.640kg,陶器,无,https://www.sxhm.com/collections/detail/9876.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s640199e600180.jpg
5565,唐银饼,唐,无,未定级,无,陕西博物馆,无,最大径12.3cm，厚3cm，2.444kg,金银器,无,https://www.sxhm.com/collections/detail/9877.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s640199e5e07de.JPG
5566,唐彩绘塔式罐,唐,无,二级,无,陕西博物馆,无,高40cm，口径12cm，3.320kg,陶器,无,https://www.sxhm.com/collections/detail/9878.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s640199f92f204.jpg
5567,西周陶簋,周,无,三级,无,陕西博物馆,无,高18cm，口径23cm，1.315kg,陶器,无,https://www.sxhm.com/collections/detail/9879.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a0a2d23d.jpg
5568,唐杨存实银铤,唐,无,二级,无,陕西博物馆,无,长26.5cm，宽7cm，厚1.2cm，2.358kg,金银器,无,https://www.sxhm.com/collections/detail/9880.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a1228f14.JPG
5569,唐三彩碗,唐,无,二级,无,陕西博物馆,无,高7.8cm，口径16.5cm，0.431kg,陶器,无,https://www.sxhm.com/collections/detail/9881.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a1fdbdd9.jpg
5570,唐银则,唐,无,三级,无,陕西博物馆,无,长19.3cm，0.057kg,金银器,无,https://www.sxhm.com/collections/detail/9882.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a3433487.JPG
5571,唐三彩架鹰骑马俑,唐,无,二级,无,陕西博物馆,无,长28cm，高35.5cm，2.465kg,陶器,无,https://www.sxhm.com/collections/detail/9883.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a41d9374.JPG
5572,唐刻花银簪,唐,无,二级,无,陕西博物馆,无,长14cm，宽0.7cm，0.012kg,金银器,无,https://www.sxhm.com/collections/detail/9884.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a518a551.JPG
5573,周单耳灰陶罐,周,无,三级,无,陕西博物馆,无,口径5.5cm，高6cm，0.130kg,陶器,无,https://www.sxhm.com/collections/detail/9885.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a5b3efe1.jpg
5574,唐彩绘塔式罐,唐,无,二级,无,陕西博物馆,无,高70cm，8.160kg,陶器,无,https://www.sxhm.com/collections/detail/9886.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a66170e5.jpg
5575,唐银铊尾,唐,无,三级,无,陕西博物馆,无,长7.9cm，宽4.5cm，厚1cm，0.089kg,金银器,无,https://www.sxhm.com/collections/detail/9887.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a7652637.JPG
5576,西周灰陶豆,周,无,三级,无,陕西博物馆,无,高12cm，口径16cm，0.755kg,陶器,无,https://www.sxhm.com/collections/detail/9888.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a8449205.jpg
5577,唐三彩凤首壶,唐,无,二级,无,陕西博物馆,无,高31.7cm，口径4cm，底径9.5cm，1.493kg,陶器,无,https://www.sxhm.com/collections/detail/9889.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a8660f54.JPG
