id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
85,《中华人民共和国成立六十周年》纪念邮票小型张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681172058705920,https://www.chnmus.net/webfile/collection_img/_45185_/41000002_45185_A_1.JPG
86,《中华人民共和国成立六十周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681171630886912,https://www.chnmus.net/webfile/collection_img/_45184_/41000002_45184_A_1.JPG
87,《中华人民共和国成立60周年国庆首都阅兵》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681169441460224,https://www.chnmus.net/webfile/collection_img/_45179_/41000002_45179_A_1.JPG
88,《黄龙》特种邮票小型张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681166908100608,https://www.chnmus.net/webfile/collection_img/_45174_/41000002_45174_A_1.JPG
89,《国家图书馆》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681167520468992,https://www.chnmus.net/webfile/collection_img/_45175_/41000002_45175_A_1.JPG
90,《黄龙》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681166178291712,https://www.chnmus.net/webfile/collection_img/_45173_/41000002_45173_A_1.JPG
91,《中国人民政治协商会议成立六十周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681168967503872,https://www.chnmus.net/webfile/collection_img/_45178_/41000002_45178_A_1.JPG
92,《京杭大运河》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681169873473536,https://www.chnmus.net/webfile/collection_img/_45180_/41000002_45180_A_1.JPG
93,《兰州大学建校一百周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681168531296256,https://www.chnmus.net/webfile/collection_img/_45177_/41000002_45177_A_1.JPG
94,《唐诗三百首》特种邮票小全张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681168007008256,https://www.chnmus.net/webfile/collection_img/_45176_/41000002_45176_A_1.JPG
