id,name,time,leve,location(仅镇馆之宝有),size,material,describe(仅镇馆之宝有),relic_url,img_url
6117,清仿西周提梁铜卣,清,一般,,通高10.6cm，口径6.6×5.3cm，0.881kg,铜器,,https://www.sxhm.com/collections/detail/11187.html,htps:/Uploads/Picture/2023/04/13/s6437a096b259b.JPG
6118,清仿唐海兽葡萄纹铜镜,清,一般,,直径12.3cm，0.441kg,铜器,,https://www.sxhm.com/collections/detail/11188.html,htps:/Uploads/Picture/2023/04/13/s6437a0b3010ef.JPG
6119,清云雷纹铜铃,清,一般,,通高14.1cm，口径13.4cm，0.669kg,铜器,,https://www.sxhm.com/collections/detail/11189.html,htps:/Uploads/Picture/2023/04/13/s6437a0cc501d0.JPG
6120,清云雷纹铜香炉,清,一般,,通高26.8cm，口径14.6cm，3.155kg,铜器,,https://www.sxhm.com/collections/detail/11190.html,htps:/Uploads/Picture/2023/04/13/s6437a0e56ec49.JPG
6121,清錾刻花卉纹铜宣德炉,清,一般,,通高17.6cm，口径9.3cm，1.030kg,铜器,,https://www.sxhm.com/collections/detail/11191.html,htps:/Uploads/Picture/2023/04/13/s6437a0feb4476.JPG
6122,清兽面纹带盖铜方鼎,清,一般,,通高23.2cm，口径17.3×13.4cm，4.460kg,铜器,,https://www.sxhm.com/collections/detail/11192.html,htps:/Uploads/Picture/2023/04/13/s6437a118e1c2b.JPG
6123,清铜觚,清,一般,,高20cm，口径9.8cm，0.494kg,铜器,,https://www.sxhm.com/collections/detail/11193.html,htps:/Uploads/Picture/2023/04/13/s6437a13271830.JPG
6124,清竹下高士竹节形铜笔筒,清,一般,,高21.1cm，口径7.3cm，1.294kg,铜器,,https://www.sxhm.com/collections/detail/11194.html,htps:/Uploads/Picture/2023/04/13/s6437a14b4490d.JPG
6125,清铜宣德炉,清,一般,,口径5.7cm，高3cm，0.095kg,铜器,,https://www.sxhm.com/collections/detail/11195.html,htps:/Uploads/Picture/2023/04/13/s6437a16f6bfbd.JPG
6126,清铜宣德炉,清,一般,,口径11.7cm，高8.5cm，0.940kg,铜器,,https://www.sxhm.com/collections/detail/11196.html,htps:/Uploads/Picture/2023/04/13/s6437a1894db5f.JPG
6127,清花卉纹铜瓶,清,一般,,高18.4cm，口径4.4×3.7cm，0.407kg,铜器,,https://www.sxhm.com/collections/detail/11197.html,htps:/Uploads/Picture/2023/04/13/s6437a1a482789.JPG
